"State_Name","District_Name","Crop_Year","Season","Crop","Area","Production","Rendimiento"
"Andhra Pradesh","EAST GODAVARI",2011,"Rabi       ","Dry chillies",180,784,4.35555555555556
"Andhra Pradesh","EAST GODAVARI",2011,"Rabi       ","Gram",92,139,1.51086956521739
"Andhra Pradesh","EAST GODAVARI",2011,"Rabi       ","Groundnut",227,544,2.39647577092511
"Andhra Pradesh","EAST GODAVARI",2011,"Rabi       ","Horse-gram",45,19,0.422222222222222
"Andhra Pradesh","EAST GODAVARI",2011,"Rabi       ","Maize",8067,54017,6.69604561794967
"Andhra Pradesh","EAST GODAVARI",2011,"Rabi       ","Moong(Green Gram)",33158,13031,0.392997165088365
"Andhra Pradesh","EAST GODAVARI",2011,"Rabi       ","Onion",38,973,25.6052631578947
"Andhra Pradesh","EAST GODAVARI",2011,"Rabi       ","other oilseeds",88,1858,21.1136363636364
"Andhra Pradesh","EAST GODAVARI",2011,"Rabi       ","Rice",139649,587084,4.20399716431911
"Andhra Pradesh","EAST GODAVARI",2011,"Rabi       ","Sesamum",688,149,0.21656976744186
"Andhra Pradesh","EAST GODAVARI",2011,"Rabi       ","Urad",27849,2674,0.0960178103343028
"Andhra Pradesh","EAST GODAVARI",2011,"Whole Year ","Arecanut",20,8,0.4
